Department of Commerce,,,,,,
Export Import Data Bank,,,,,,
Export :: Country-wise,,,,,,
,,,,,,
Dated: 12/3/2025,,,,,,
Values in US$ Million,,,,,,
,,,,,,
S.No.,Country,2022-2023,%Share,2023-2024 ,%Share,%Growth
158,NORWAY ,569.19,0.1262,403.08,0.0922,-29.18
159,OMAN ,"4,477.25",0.9926,"4,426.47",1.0128,-1.13
160,PACIFIC IS ,0.29,0.0001,,  ,  
161,PAKISTAN IR ,627.1,0.139,"1,188.85",0.272,89.58
162,PALAU ,0.22,0,0.15,0,-34.1
163,PANAMA REPUBLIC ,314.56,0.0697,296.53,0.0678,-5.73
164,PAPUA N GNA ,85.84,0.019,70.06,0.016,-18.38
165,PARAGUAY ,156.34,0.0347,212.25,0.0486,35.76
166,PERU ,865.79,0.1919,920.09,0.2105,6.27
167,PHILIPPINES ,"2,094.15",0.4643,"2,097.17",0.4798,0.14
168,PITCAIRN IS. ,0,0,0,0,300
169,POLAND ,"2,323.11",0.515,"2,436.27",0.5574,4.87
170,PORTUGAL ,"1,005.41",0.2229,"1,183.80",0.2708,17.74
171,PUERTO RICO ,268.84,0.0596,140.53,0.0322,-47.73
172,QATAR ,"1,966.78",0.436,"1,700.01",0.389,-13.56
173,REUNION ,47.21,0.0105,45.33,0.0104,-3.98
174,ROMANIA ,744.39,0.165,"1,778.05",0.4068,138.86
175,RUSSIA ,"3,146.95",0.6977,"4,261.31",0.975,35.41
176,RWANDA ,143.78,0.0319,133.5,0.0305,-7.15
177,SAHARWI A.DM RP ,0.03,0,0.07,0,129.51
178,SAMOA ,1.22,0.0003,1.92,0.0004,57.87
179,SAN MARINO ,0.47,0.0001,0.52,0.0001,11.47
180,SAO TOME ,1.51,0.0003,1.53,0.0004,1.78
181,SAUDI ARAB ,"10,727.65",2.3783,"11,558.57",2.6445,7.75
182,SENEGAL ,"1,134.20",0.2514,938.57,0.2147,-17.25
183,SERBIA ,82.69,0.0183,106.91,0.0245,29.29
184,SEYCHELLES ,64.88,0.0144,76.19,0.0174,17.44
185,SIERRA LEONE ,237.38,0.0526,267.86,0.0613,12.84
186,SINGAPORE ,"11,992.94",2.6588,"14,414.27",3.2979,20.19
187,SINT MAARTEN (DUTCH PART) ,0.01,0,0.45,0.0001,"4,079.63"
188,SLOVAK REP ,190.22,0.0422,193.03,0.0442,1.48
189,SLOVENIA ,610.87,0.1354,586.97,0.1343,-3.91
190,SOLOMON IS ,2.69,0.0006,2.99,0.0007,11.38
191,SOMALIA ,946.37,0.2098,819.58,0.1875,-13.4
192,SOUTH AFRICA ,"8,474.42",1.8787,"8,707.53",1.9922,2.75
193,SOUTH SUDAN ,32.31,0.0072,41.68,0.0095,29.02
194,SPAIN ,"4,661.01",1.0333,"4,793.70",1.0968,2.85
195,SRI LANKA DSR ,"5,111.59",1.1332,"4,116.90",0.9419,-19.46
196,ST HELENA ,0.05,0,0,0,-99.81
197,ST KITT N A ,2.63,0.0006,4.99,0.0011,89.45
198,ST LUCIA ,5.13,0.0011,7.26,0.0017,41.59
199,ST VINCENT ,1.19,0.0003,2.38,0.0005,100.94
200,STATE OF PALEST ,2.65,0.0006,0.65,0.0001,-75.61
201,SUDAN ,"1,815.84",0.4026,805.04,0.1842,-55.67
202,SURINAME ,12.23,0.0027,29.25,0.0067,139.1
203,SVALLBARD AND J ,,  ,0.11,0,  
204,SWAZILAND ,14.98,0.0033,24.79,0.0057,65.44
205,SWEDEN ,961.93,0.2133,"1,018.80",0.2331,5.91
206,SWITZERLAND ,"1,346.54",0.2985,"1,526.92",0.3494,13.4
207,SYRIA ,103.43,0.0229,63.2,0.0145,-38.9
208,TAIWAN ,"2,637.47",0.5847,"1,840.59",0.4211,-30.21
209,TAJIKISTAN ,49.4,0.011,51.64,0.0118,4.54
210,TANZANIA REP ,"3,935.49",0.8725,"4,616.62",1.0563,17.31
211,THAILAND ,"5,709.81",1.2658,"5,038.97",1.1529,-11.75
212,TIMOR LESTE ,35.49,0.0079,48.02,0.011,35.31
213,TOGO ,"6,048.07",1.3408,"3,229.01",0.7388,-46.61
214,TONGA ,1.45,0.0003,1.59,0.0004,9.46
215,TRINIDAD ,104.93,0.0233,109.06,0.025,3.93
216,TUNISIA ,423.11,0.0938,439.2,0.1005,3.8
217,TURKEY ,"9,609.67",2.1304,"6,654.63",1.5225,-30.75
218,TURKMENISTAN ,90.29,0.02,37.46,0.0086,-58.52
219,TURKS C IS ,1.76,0.0004,1.11,0.0003,-37.22
220,TUVALU ,0.25,0.0001,0.11,0,-57.59
221,U ARAB EMTS ,"31,608.79",7.0075,"35,625.02",8.1508,12.71
222,U K ,"11,405.63",2.5286,"12,922.65",2.9566,13.3
223,U S A ,"78,542.60",17.4125,"77,515.03",17.7351,-1.31
224,UGANDA ,560.06,0.1242,508.14,0.1163,-9.27
225,UKRAINE ,132.68,0.0294,173.3,0.0397,30.62
226,UNSPECIFIED ,"3,046.22",0.6753,"2,987.00",0.6834,-1.94
227,URUGUAY ,155,0.0344,520.83,0.1192,236.01
228,US MINOR OUTLYING ISLANDS ,0.11,0,0.3,0.0001,168.06
229,UZBEKISTAN ,283.31,0.0628,372.56,0.0852,31.5
230,VANUATU REP ,3.39,0.0008,3.92,0.0009,15.57
231,VATICAN CITY ,0.16,0,0.09,0,-41.41
232,VENEZUELA ,178,0.0395,175.33,0.0401,-1.5
233,VIETNAM SOC REP ,"5,909.16",1.31,"5,470.15",1.2515,-7.43
234,VIRGIN IS US ,7.59,0.0017,5.83,0.0013,-23.26
235,WALLIS F IS ,0,0,,  ,  
236,YEMEN REPUBLC ,"1,000.36",0.2218,875.98,0.2004,-12.43
237,ZAMBIA ,280.68,0.0622,244.31,0.0559,-12.96
238,ZIMBABWE ,157.33,0.0349,152.37,0.0349,-3.15
,India's Total Export,"4,51,070.00",,"4,37,072.03",,-3.1
,,,,,,
DOC-NIC,,,,,,
